Name,Stars,Review
Mohamed Ezz Elarab,5,Ahla hawashino ❤️❤️❤️❤️ akl gamed aweee keeep going ❤️❤️❤️❤️❤️
hossam,1,الاوردر موصلش اصلا متاخر اكتر من ساعتين ونص حاجة مقرفة وكلمت الدعم محدش بيفيد في حاجة انا غلطت اني طلبت من المطعم والابلكيشن ده
moataz ibrahim,5,الحواوشي تحفه .والفطير الحلو جميل جدا .والتوصيل سريع
Ehab Oraby العقرب,5,حلو جدا والكمية جميله والتوصيل سريع حاجه جميله
islam,1,الاكل سئ جدا جدا مطعم فاشل المفروض يتشال من قائمه المنيوز بيضحكو علي ناس
Abdullah Saleh,1,الاكل مكانش طعمه تمام - البسطرمة ف الاكل كانت لسه نية - المخلل كان طعمه بايظ - السوبيا كان طعمها حمضان سيء جدا جدا جدا ومرشحش اي حد خالص للمكان ده
Ahmed,1,حرام في 10 جنيه حتى طبق بطاطس ب15 ميستاهلش 5 جنيه والله مديني علبه فيها tast للبطاطس لو عجبتني اطلب ب100 احسن علشان تجيلي بطاطس يعني الحمدلله ان كان عندي خصم مو المنيوز ولا كان هسارك في الاوردر دا كلو على بعضه اكتر من 30جنيه والله
Dalia Hashem,1,الاكل ساعتين و نص عشان يوصل و حجمه صغير جدا
abdullah okay,5,.
Tawfik ElHout,1,اولا الاوردر جي غلط بدل البسطرمة جه حواوشي فراخ ثانيا الطيار بجد ولا فاهم حاجة ولا عارف يتكلم اصلا فاقد الوعي ولا شارب حاجة انا مش فاهم !!! مش عارف محطة ترام جناكليس مش عارف يمشي اصلا ولا يبص يمين ولا شمال كل ما اقول كلمة اعيدها ١٠٠ مرة ولا منتبه و...
Mahmoud,2,التوصيل في ساعتين ونص بيوصل بارد والطعم عادي جدا
Abdo Samy,3,التوصيل متأخر
Max Elmasre,1,الاوردر واخد ساعتين إلاربع علشان يوصل وصل بارد طلب كلة مليان ملح تجربة سيئة جدااااا
Rahma Ghanem,5,تووووحفة
Mahmoud Arafa,5,ممتاز جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا
Mahmoud Rashad,5,حلو جدا بصراحه التتبيلة والشوى على الفحم الله ينور الصراحه
Assem Abdelrahman abbas Dweek,5,الاوردر جالي الصراحة سخن وكان جميل جدا تتبيلة اللحمه حلوه والعيش جميل
Mohamed Ezz Elarab,5,Hawawshiy helw awe akl mazboot ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Rehab Nasr Maher,5,المطعم اكله حلو جدا الحوواشى مظبوط مقاديره وتسوية والفطير الحلو تحفة
Mohamed Adel,5,احلى حواوشي في المجرة و اللي عنده حواوشي زينا نقوله يا عمنا
Mohamed Ezz Elarab,5,Ahla hawashino ❤️❤️❤️❤️ akl gamed aweee keeep going ❤️❤️❤️❤️❤️
hossam,1,الاوردر موصلش اصلا متاخر اكتر من ساعتين ونص حاجة مقرفة وكلمت الدعم محدش بيفيد في حاجة انا غلطت اني طلبت من المطعم والابلكيشن ده
moataz ibrahim,5,الحواوشي تحفه .والفطير الحلو جميل جدا .والتوصيل سريع
Ehab Oraby العقرب,5,حلو جدا والكمية جميله والتوصيل سريع حاجه جميله
islam,1,الاكل سئ جدا جدا مطعم فاشل المفروض يتشال من قائمه المنيوز بيضحكو علي ناس
Abdullah Saleh,1,الاكل مكانش طعمه تمام - البسطرمة ف الاكل كانت لسه نية - المخلل كان طعمه بايظ - السوبيا كان طعمها حمضان سيء جدا جدا جدا ومرشحش اي حد خالص للمكان ده
Ahmed,1,حرام في 10 جنيه حتى طبق بطاطس ب15 ميستاهلش 5 جنيه والله مديني علبه فيها tast للبطاطس لو عجبتني اطلب ب100 احسن علشان تجيلي بطاطس يعني الحمدلله ان كان عندي خصم مو المنيوز ولا كان هسارك في الاوردر دا كلو على بعضه اكتر من 30جنيه والله
Dalia Hashem,1,الاكل ساعتين و نص عشان يوصل و حجمه صغير جدا
abdullah okay,5,.
abdullah okay,5,.
mohamed hamido,1,للاسف سيء جدا ، الاوردر وصل نص مستوي ، اول واخر مرة نطلب من عنده
Mohamed Wahba,1,انا طالب ٣ حواوشي مختلفين مش عارف مين فين 😂😂 لحمه ذي ميكس ذي صدق بس الطحينه حلوه😡
Omar,1,اولا الاوردار كان ناقص ثانيا الاكل جاي بارد ثالثا العيش كان ناشف نتيجة لان الاكل كان بارد حقيقي تجربه سيئة جداً
الداعية مصطفى حسني,1,سيء جدآ اقسم بالله ما تعرف تفرق اللحمه عن السجق دا لو كانت دي لحمة اصلا وصغير جدا جدا اقل من انه يتقال عليه اقل من العادي
Hany,1,ساندوتشين اترموا لأنهم لا يصلحوا للاكل و لا حتى القطط قبلت تاكل منهم، واحد كان تقريبا نى و التانى كان شبه مستوى بس كان تقريبا غرقان ملح. تجربة سيئة جدا، ان أرمى اكل، فلوس ع الأرض و ذنب. حسبى الله .
Mayar Hassan,2,انا بعت اجيب اوردر كبير علشان كان عاجبني المره الي فاتت بس للاسف الحجم صغر من لما جربته من اسبوع و مش مليان زي الاول و ريحته و طعمه مش احسن حاجه للاسف معرفتوش تتستمروا بجوده كويسه
Menna ElDeriny,5,حلو ربنا يوسع عليهم رزقهم كنت طالب بخصم و معملوش زى ما باقى المطعام بتعمل يطلع الاكل على قد الخصم بس فا شابو الكرو و صاحب المطعم
Noureen Dabbour,5,وصل في اقل من ١٠ دقايق التوصيل ممتاز جبت حواوشي ساده لحمة و سدق خفيف و مقرمش و علي السعر فوق الممتاز و اكيد هجرب بالجبنة المرة الي جايا شكرًا
محمد عمرو,2,المطعم حلو و الحواوشي لذيذ لكن خدمة التوصيل سيئة جدا جدا الطلب وصلني بعد اكتر من ساعتين فأرجو تحسينها
Mayar Hassan,5,انا عاده مش بكتب تقييمات بس هو فعلا يستحق التجربه القيمه مقابل السعر حلوه جدا هو ممكن صغير شويه بالنسبه للحواوشي المعروف بس انا جربت حواوشي السدق الساده و كان جامد بصراحه و العيش لا مقرمش اوي و لا طري اوي مظبوط ممكن لو كان عليه جبنه كان حايبقي في حت...
