Name,Stars,Review
M Elkashef,1,تطبيق سئ.. الطلب لم يتم أصلا بسبب سوء تواصل elmenus مع المطعم. و المشكلة الأفظع إن تطبيقكم السئ انتحل شخصيتى و سجل إنى استلمت الأوردر .و انا مش عارف اتواصل معاهم ازاى أعرفهم إن الأوردر موصلش ولا حاجة. لأ وكمان طالب رأيى فى المهزلة دى.🤔
Mazen,2,الفراخ زفرة كالعادة
Mohamed Lawlaby,5,Good
وزـه,1,الكميه قليله جدا مستحيل ده يكون الي طلبته
mohamed amir,1,الاكل بارد والكميه صغيره جدا لا تساوي المبلغ المدفوع
محمد شحات,3,التومية طعمها مش مظبوط المرة دي كويس
Ashraf Attia,3,decent not the best in the world but def keeps the tank full
abdulrahman Shawky,1,الفراخ سيئة جدا ناشفة جدا وغير طازجة بالمرة والرز نفس الحال ناشف جدا وكإن الوجبة متحضرة من يومين اصبح المطعم لا يهتم بالنظافة ولا الجودة ابدا ويقدم اي طلبات متحضرة قديمة لا تأكل دون ضمير تجربة سيئة واخيرة
Fares Ahmed,1,الاكل بارد اوى والشاورما كانت قليله وبارده اوى
ismail,1,اقسم بالله الاكل مش حلو خااالص و لولا اني صايم مكنتش كلت بس في جزء كبير من الاكل انا رميته وربنا يسامحني الاكل وحش جدا جدا جدا اقسم بالله
Samya,1,الرز جالي حمضان وطعمه وحش وميتاكلش مش معقول نبقا دافعين فلوس في اكل ويجيلي حمضان !!!!!! انا كنت متعودة اطلب منكم علطول بس اول مرة الاكل يجي ميتاكلش
Mohamed Dawood,1,الاكل وصل بارد ومفهوش طعم ومعاه رغيف واحد
Ola Mohamed,1,الساندوتش طعمه سيء جدا و ريحة و طعم الزفارة صعب اوي
nour shehab,1,الاكل جي متفحم
Heba Saeed,1,الاكل غير طازج
Ahmed Kesho,5,ساندوتش شاورما فراخ صاروخ جميل جدا وبيشبع
Amr,4,The pasta had almost raw chicken and it was cold
SAMA Mohamed,1,عيش مش مستوي بشع
mina karam,1,order wasn't delivered
Amira,3,الاوردر اتاخر جدا
Mohamed Khaled Mohamed,1,ناقصه ملح وغالبا مش عليها ملح خالص
Momen Ahmed,1,العيش بايت و الشاورما مش كويسه
محمد ابراهيم,3,الجودة مرة ليك ومرة عليك
Adham Elkhodery,1,انا مستلمتش الاوردر واخر حاجة كنت اتوقعها سوء المعملة دي بجد وده هيبقي اخر تعامل تمامااااا مع المينوز.... الاورد ده اتخصم من الفيزا والمطعم بيقولي انه اتكنسل ومش عايز يوصله مع الدليفري وبلغته اني ضايف رقم ارضي رقم المطعم 01102122444 /01122444993
Fady Farag,1,The fries with mozzarella is disgusting
Habeba Salama,5,.
نور الدين,5,ممتاز
Abdalla Rgaee,5,Good
Ahmed Abass,1,الفراخ محروقه و تجربه زي الزفت و الاوردر اتأخر
Mohamed Elabass,1,نصيحه لوجه الله محدش يشتري من المطعم ده اكله سيء جدا والله
Mohamed Elabass,1,الفرخه كانت جايه بدمها وده بعد نص ساعه تسويه ف الاير فراير وف الاخر زي ماهي متاكلتش لان عدم التسويه من الاول عمل زفاره بشعه
Nourhan Ziada,1,تجربة سيئة جدا الاكل بارد ومش مستوي ومفيش تتبيلة
Aya Haggag,1,الاوردر سيء جدا والشاورما ناشفة ومحروقة والعيش مش طازة تجربة سيئة جدا
Samer Maged,2,جودة الأكل سيئة. وطعم التتبيلة ضعيف جداً جداً. الأكل مش مخدوم تماماً. حتى السلطات مش أحسن حاجة.
Ahmed Hamdi,1,كنت طالب كفتة و سوبريم جالي ٢ بطاطس موتزاريللا 😡 حسبي الله
Haneen Omran,2,الفتة كانت سقعة و مش طازة
Shymaa Yossrii,1,للمرة التانية الاكل ميكونش حلو خالص بجد مش هجيب تاني منكم
Yosr Tarek,1,كل اللي كله من المكرونه و الفتوش بطننا وجعتنا يومين و الله اسهال و انتينال بشع و اللكل مجلد منهم لله
Marwa Ahmed Abdel Rahman,4,الطيار في غاية التهذيب
Ahmed Hady,1,أصغر قطع اسكالوب شفتها ف حياتي غير اللى محطوط ف الصورة خالص ... مطعم حرامي ونصاب
Sara Youssef,1,الفراخ سيئة جدا ومش مستوية ، اخر تعامل معاكم
سليمان,1,الشاورما العربي عبارة عن عيش و مش طازة كمان ناشف جدا ولا فيه ريحه الشاورما.. الوجبة كلها وحشة جدا
Alaa Awad,1,there's a strange taste
Mostafa Hamza,3,الفتة صغيرة جدا
John,1,الخصم اتشال بعد مطلبت و مس عارف اكلم حد ابلكشن زبالا
Ahmed Kesho,5,الاكل جميل سواء فتوتة اوساندوتش البطاطس بالموتزاريلا جميل جدا
Nadia N,3,الفراخ كانت ناشفه اوى و الصوصات فى السندوتش ضعيفه جدا
Ebrahem Mahmoud,2,الوقت اتاخر والاكل كان بارد
Shady Nasrat,1,للأسف الفراخ والارز والبطاطس كلهم كانوا مزيتين جدااا.
Eman,1,Was very stiff
marwan elgemely,2,.
youssef elmahdy,3,W.
Ziad Abd El-Hady,3,الفراخ محتاجة تستوي اكتر و الاورد كان ٣ ربع صدور جالي ٢ صدور وورك
Samer Maged,2,جودة الأكل سيئة. وطعم التتبيلة ضعيف جداً جداً. الأكل مش مخدوم تماماً. حتى السلطات مش أحسن حاجة.
Ahmed Hamdi,1,كنت طالب كفتة و سوبريم جالي ٢ بطاطس موتزاريللا 😡 حسبي الله
Haneen Omran,2,الفتة كانت سقعة و مش طازة
Shymaa Yossrii,1,للمرة التانية الاكل ميكونش حلو خالص بجد مش هجيب تاني منكم
Yosr Tarek,1,كل اللي كله من المكرونه و الفتوش بطننا وجعتنا يومين و الله اسهال و انتينال بشع و اللكل مجلد منهم لله
Marwa Ahmed Abdel Rahman,4,الطيار في غاية التهذيب
Ahmed Hady,1,أصغر قطع اسكالوب شفتها ف حياتي غير اللى محطوط ف الصورة خالص ... مطعم حرامي ونصاب
Sara Youssef,1,الفراخ سيئة جدا ومش مستوية ، اخر تعامل معاكم
سليمان,1,الشاورما العربي عبارة عن عيش و مش طازة كمان ناشف جدا ولا فيه ريحه الشاورما.. الوجبة كلها وحشة جدا
Alaa Awad,1,there's a strange taste
Mostafa Hamza,3,الفتة صغيرة جدا
John,1,الخصم اتشال بعد مطلبت و مس عارف اكلم حد ابلكشن زبالا
Ahmed Kesho,5,الاكل جميل سواء فتوتة اوساندوتش البطاطس بالموتزاريلا جميل جدا
Nadia N,3,الفراخ كانت ناشفه اوى و الصوصات فى السندوتش ضعيفه جدا
